,Metrics
operator,categorical
table_name,categorical
cost_percent,percentage
num_chunks,count
row_count_in,count
row_count_out,count
parallelism,value
listing_time_percent,percentage
total_row_groups,count
skipped_row_groups,count
parquet_reading_cost_percent_Percentage,percentage
parquet_reading_cost_percent_Values,values
filtering_cost_percent_Percentage,percentage
filtering_cost_percent_Values,values
memory_consumption,value
total_query_time,value
queue_blocked_time_Percentage,percentage
queue_blocked_time_Values,time
cost_percent_str_Percentage,percentage
cost_percent_str_Values,values
parquet_task_cost_percent_Percentage,percentage
parquet_task_cost_percent_Values,values
open_time_percent_Percentage,percentage
open_time_percent_Values,time
partitions,value
files,value
tasks,value
rowgroup_listing_time_percent_Percentage,percentage
rowgroup_listing_time_percent_Values,time
partition_listing_time_percent_Percentage,percentage
partition_listing_time_percent_Values,time
read_io_time_percent_Percentage,percentage
read_io_time_percent_Values,time
read_io_bytes,value
read_io_count,count
seek_io_time_Percentage,percentage
seek_io_time_Values,time
seek_io_count,count
stream_close_time_Percentage,percentage
stream_close_time_Values,time
file_name_max_read_time,categorical
thread_duration_max,value
RowsInPerThread_max,value
thread_duration_0_50_75_90_100,quantile
InputRowsPerThread_0_50_75_90_100,quantile
parquet_readingTimePerThread_0_50_75_90_100,quantile
filteringTimePerThread_0_50_75_90_100,quantile
task_duration_0_50_75_90_100,quantile
task_rowsInCount_0_50_75_90_100,quantile
queryId,queryId
parsingTime,time
executionQueueingTime,time
totalClientQueryTime,time
join_type,categorical
remoteParallelism,value
operator_id,value
remote_num_chunks,count
local_num_chunks,count
localParallelism,value
planType,categorical
SinkOperator_avg,value
synchronizationTime_Percentage,percentage
synchronizationTime_Values,time
LogicalValuesOperator_avg,values
totalOpenDuration,value
was_distributed,categorical
totalBytes,value
skipped_pages,value
page_filter_creation_time,value
ChunkAppendAndSortOperator_avg,count
TotalParquetReadingTime,time
ProjectionOperator_avg,value
JoinOperator_avg,value
ColumnarLookupPartBuildOperator_max,value
InMemoryAggregationOperator_avg,value
ReadIOTime,time
JoinOperator_max,value
ChunkAppendOperator_avg,count
ProjectionOperator_max,value
ColumnarLookupTableBuildOperator_avg,value
TotalTableScanFilteringTime,time
PartInMemoryAggregationOperator_max,value
TableScanOperator_max,value
PartInMemoryAggregationOperator_avg,value
ColumnarLookupPartBuildOperator_avg,value
TableScanOperator_avg,value
LimitOperator_avg,value
InMemoryWindowOperator_avg,value
InMemoryPartWindowOperator_avg,value
FilterOperator_avg,value
InMemoryAggregationOperator_max,value
InMemoryPartWindowOperator_max,value
InMemoryWindowOperator_max,value
FilterOperator_max,value
ChunkAppendOperator_max,count
UnionOperator_max,value
UnionOperator_avg,value
remote_cost_percent,percentage
remote_cost_percent_str_Percentage,percentage
remote_cost_percent_str_Values,values
PartSortWithLimitOperator_avg,value
SortWithLimitOperator_avg,value
partitioned,categorical
partitionProcessingParallelism,value
partitionCreatingParallelism,value
local_cost_percent,percentage
local_cost_percent_str_Percentage,percentage
local_cost_percent_str_Values,values
m_bShouldParallelizeRowGroups,categorical
max_thread_duration,value
avgInputRowsPerThread,value
maxInputRowsPerThread,value
firstChild,categorical
